"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Thickness","Year","Gregorian year","Mintmark","Quantity","Grade","Collection","Public comment"
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze","5.18","21.59","1.5","1979","1979","","1","VF","North America / Oceania",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 401","N# 1566","5 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel","2.83","19.41","1.3","2012","2012","","1","VF","North America / Oceania",""
"Australia","Australia","Dollar (1966-date)","0.1","KM# 65","N# 1282","10 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-2019","Round","Copper-nickel","5.66","23.6","1.76","1975","1975","","1","VF","North America / Oceania",""
"Australia","Australia","Dollar (1966-date)","0.2","KM# 403","N# 1702","20 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Round","Copper-nickel","11.31","28.52","2","2001","2001","","1","VF","North America / Oceania",""
"Australia","Australia","Dollar (1966-date)","0.5","KM# 404","N# 8327","50 Cents - Elizabeth II (4th Portrait)","Standard circulation coin","1999-2019","Dodecagonal (12-sided)","Copper-nickel","15.55","31.51","3","1999","1999","","1","VF","North America / Oceania",""
"Australia","Australia","Dollar (1966-date)","1","KM# 77","N# 2288","1 Dollar - Elizabeth II (2nd Portrait - Mob of Roos)","Standard circulation coin","1984","Round","Aluminium-bronze","9","25","2.5","1984","1984","","1","VF","North America / Oceania",""
"Australia","Australia","Dollar (1966-date)","2","KM# 101","N# 1568","2 Dollars - Elizabeth II (3rd portrait)","Standard circulation coin","1988-2018","Round","Aluminium-bronze","6.6","20.5","3.2","1997","1997","","1","F","North America / Oceania",""
"Austria","Austria","Second Schilling (1945-2001)","0.02","KM# 2876","N# 745","2 Groschen","Standard circulation coin","1950-1994","Round","Aluminium","0.9","18.02","1.56","1954","1954","","1","VF","Europe",""
"Austria","Austria","Second Schilling (1945-2001)","0.1","KM# 2878","N# 654","10 Groschen","Standard circulation coin","1951-2001","Round","Aluminium","1.1","19.8","1.55","1992","1992","","1","XF","Europe",""
"Austria","Austria","Second Schilling (1945-2001)","1","KM# 2886","N# 740","1 Schilling","Standard circulation coin","1959-2001","Round","Aluminium-bronze (91.5% Bronze, 8.5% Aluminum)","4.2","22.5","1.5","1990","1990","","1","VF","Europe",""
"Austria","Austria","Second Schilling (1945-2001)","10","KM# 2918","N# 743","10 Schilling","Standard circulation coin","1974-2001","Round","Copper-nickel plated nickel","6.25","26","1.46","1989","1989","","1","VF","Europe",""
"Austria","Austria","Euro (2002-date)","0.01","KM# 3082","N# 57","1 Euro Cent","Standard circulation coin","2002-2022","Round","Copper plated steel","2.3","16.25","1.67","2015","2015","","1","XF","Euro Booklet",""
"Austria","Austria","Euro (2002-date)","0.05","KM# 3084","N# 59","5 Euro Cent","Standard circulation coin","2002-2022","Round","Copper plated steel","3.92","21.25","1.67","2002","2002","","1","XF","Euro Booklet",""
"Austria","Austria","Euro (2002-date)","0.1","KM# 3139","N# 7926","10 Euro Cent (2nd map)","Standard circulation coin","2008-2022","Round","Nordic gold","4.1","19.75","1.93","2012","2012","","1","XF","Euro Booklet",""
"Austria","Austria","Euro (2002-date)","1","KM# 3088","N# 63","1 Euro (1st map)","Standard circulation coin","2002-2007","Round","Bimetallic: copper-nickel clad nickel center in nickel brass ring","7.5","23.25","2.33","2002","2002","","1","VF","Euro Booklet",""
"Austria","Austria","Euro (2002-date)","2","KM# 3089","N# 64","2 Euro (1st map)","Standard circulation coin","2002-2006","Round","Bimetallic: nickel brass clad nickel center in copper-nickel ring","8.5","25.75","2.2","2002","2002","","1","VF","Europe",""
"Austria","Austria","Euro (2002-date)","2","KM# 3143","N# 9761","2 Euro (2nd map)","Standard circulation coin","2008-2022","Round","Bimetallic: nickel brass clad nickel center in copper-nickel ring","8.5","25.75","2.2","2011","2011","","1","XF","Euro Booklet",""
"Azerbaijan","Azerbaijan","Third manat (2006-date)","0.01","KM# 39","N# 3064","1 Qəpik","Standard circulation coin","2006-2011","Round","Copper plated steel","2.8","16.25","2.1","","2006","","1","XF","World Coins / Other",""
"Azerbaijan","Azerbaijan","Third manat (2006-date)","0.2","KM# 43","N# 4749","20 Qəpik","Standard circulation coin","2006-2011","Round","Brass plated steel","6.6","24.25","2.05","","2006","","1","VF","World Coins / Other",""
"Bahamas, The","Bahamas, The","Dollar (1966-date)","0.01","KM# 59","N# 3159","1 Cent","Standard circulation coin","1974-1985","Round","Brass","3.16","19.05","1.4","1979","1979","","1","VF","South America / Caribbean",""
"Bahamas, The","Bahamas, The","Dollar (1966-date)","0.05","KM# 60","N# 5010","5 Cents (non-magnetic)","Standard circulation coin","1974-2006","Round","Copper-nickel","3.94","21","1.53","2005","2005","","1","VF","South America / Caribbean",""
"Bahamas, The","Bahamas, The","Dollar (1966-date)","0.1","KM# 61","N# 9224","10 Cents","Standard circulation coin","1974-2005","Scalloped (12 notches)","Copper-nickel","5.54","23.5","1.72","1982","1982","","1","VF","South America / Caribbean",""
"Bahamas, The","Bahamas, The","Dollar (1966-date)","0.1","KM# 219","N# 5011","10 Cents","Standard circulation coin","2007-2016","Scalloped (12 notches)","Nickel plated steel","5.2","23.5","1.8","2010","2010","","1","XF","South America / Caribbean",""
"Bahamas, The","Bahamas, The","Dollar (1966-date)","0.15","KM# 5","N# 6763","15 Cents - Elizabeth II","Standard circulation coin","1966-1970","Square","Copper-nickel","6.5","25","","1969","1969","","1","VF","South America / Caribbean",""
"Bahamas, The","Bahamas, The","Dollar (1966-date)","0.25","KM# 220","N# 56550","25 Cents","Standard circulation coin","2007-2015","Round","Nickel plated steel","5","24.3","1.7","2015","2015","","1","VF","South America / Caribbean",""
"Bahrain","Bahrain","Dinar (1965-date)","0.025","KM# 4","N# 979","25 Fils - Isa","Standard circulation coin","1965-1966","Round","Copper-nickel","1.75","16.5","0.9","1385","1965","","1","VF","World Coins / Other",""
"Bahrain","Bahrain","Dinar (1965-date)","0.1","KM# 20","N# 2957","100 Fils - Isa / Hamad","Standard circulation coin","1992-2001","Round","Bimetallic: copper-nickel center in brass ring","6","24","1.9","1422","2001","","1","XF","World Coins / Other",""
"Barbados","Barbados","Dollar (1973-date)","0.01","KM# 10","N# 65","1 Cent - Elizabeth II (Heavy Version)","Standard circulation coin","1973-1991","Round","Bronze","3.11","19","1.5","1985","1985","","1","VF","South America / Caribbean",""
"Barbados","Barbados","Dollar (1973-date)","0.05","KM# 11","N# 912","5 Cents - Elizabeth II","Standard circulation coin","1973-2007","Round","Brass","3.75","21","1.67","1973","1973","","1","VF","South America / Caribbean",""
"Barbados","Barbados","Dollar (1973-date)","0.1","KM# 12","N# 66","10 Cents - Elizabeth II","Standard circulation coin","1973-2005","Round","Copper-nickel","2.29","17.77","1.13","1995","1995","","1","VF","South America / Caribbean",""
"Barbados","Barbados","Dollar (1973-date)","0.25","KM# 13a","N# 19168","25 Cents - Elizabeth II (magnetic)","Standard circulation coin","2007-2011","Round","Nickel plated steel","5.1","23.664","1.826","2009","2009","","1","XF","South America / Caribbean",""
"Belgium","Belgium","Franc (1832-2001)","0.5","KM# 145","N# 752","50 Centimes - Baudouin I (Dutch text)","Standard circulation coin","1952-2001","Round","Bronze","2.75","19","1.21","1983","1983","","1","XF","Europe",""
"Belgium","Belgium","Franc (1832-2001)","1","KM# 143","N# 571","1 Franc - Baudouin I (Dutch text)","Standard circulation coin","1950-1988","Round","Copper-nickel","4","21","1.6","1978","1978","","1","VF","Europe",""
"Belgium","Belgium","Franc (1832-2001)","1","KM# 171","N# 755","1 Franc - Baudouin I (Dutch text)","Standard circulation coin","1989-1993","Round","Nickel plated steel","2.75","18","1.7","1990","1990","","1","VF","Europe",""
"Belgium","Belgium","Franc (1832-2001)","5","KM# 164","N# 1250","5 Francs - Baudouin I (Dutch text)","Standard circulation coin","1986-1993","Round","Brass (Brass or Aluminium-bronze)","5.5","24","1.72","1986","1986","","1","VF","Europe",""
"Belgium","Belgium","Franc (1832-2001)","20","KM# 159","N# 760","20 Francs - Baudouin I (French text)","Standard circulation coin","1980-1993","Round","Nickel brass","8.5","25.65","2.27","1980","1980","","1","VF","Europe",""
"Belize","Belize","Dollar (1885-date)","0.25","KM# 36","N# 2238","25 Cents - Elizabeth II (1st portrait)","Standard circulation coin","1974-2017","Round","Copper-nickel","5.6","23.6","1.9","2003","2003","","1","VF","South America / Caribbean",""
"Bermuda","Bermuda","Dollar (1970-date)","0.01","KM# 44","N# 3213","1 Cent - Elizabeth II (3rd portrait)","Standard circulation coin","1986-1990","Round","Bronze","3.11","19","","1988","1988","","1","XF","South America / Caribbean",""
"Bermuda","Bermuda","Dollar (1970-date)","0.05","KM# 16","N# 1046","5 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1970-1985","Round","Copper-nickel","5","21.21","1.89","1979","1979","","1","VF","South America / Caribbean",""
"Bermuda","Bermuda","Dollar (1970-date)","0.1","KM# 17","N# 1488","10 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1970-1985","Round","Copper-nickel (75% copper; 25% nickel)","2.43","17.91","1.09","1978","1978","","1","VF","South America / Caribbean",""
"Bermuda","Bermuda","Dollar (1970-date)","0.1","KM# 46","N# 1501","10 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1986-1998","Round","Copper-nickel","2.45","17.9","1.34","1996","1996","","1","XF","South America / Caribbean",""
"Bermuda","Bermuda","Dollar (1970-date)","0.25","KM# 47","N# 3216","25 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1986-1998","Round","Copper-nickel","5.95","24.21","1.74","1986","1986","","1","VF","South America / Caribbean",""
"Bhutan","Bhutan","Ngultrum (1974-date)","1","KM# 49a","N# 9363","1 Ngultrum - Jigme Singye (magnetic)","Standard circulation coin","1979","Round","Copper-nickel clad steel","7.9","27.8","1.91","1979","1979","","1","XF","World Coins / Other",""
"Bolivia","Bolivia","Peso boliviano (1963-1986)","1","KM# 192","N# 3226","1 Peso Boliviano","Standard circulation coin","1968-1980","Round","Nickel clad steel","6","26.8","1.38","1974","1974","","1","VF","South America / Caribbean",""
"Botswana","Botswana","Pula (1976-date)","0.5","KM# 29","N# 5411","50 Thebe","Standard circulation coin","1996-2001","Round","Nickel clad steel","4.82","21.3","2.2","2001","2001","","1","VF","World Coins / Other",""
"Botswana","Botswana","Pula (1976-date)","1","KM# 35","N# 57873","1 Pula","Standard circulation coin","2013-2016","Round","Bronze plated steel","7.8","26","2.3","2013","2013","","1","VF","World Coins / Other",""
"Botswana","Botswana","Pula (1976-date)","5","KM# 37","N# 57610","5 Pula","Standard circulation coin","2013-2016","Round","Bimetallic: copper-nickel center in brass ring (center and ring plated steel (magnetic))","8.7","28","2.2","2013","2013","","1","XF","World Coins / Other",""
"Brazil","Brazil","Cruzeiro novo  (1967-1986)","0.2","KM# 579.1a","N# 8850","20 Centavos","Standard circulation coin","1975-1979","Round","Stainless steel","5.67","25","1.75","1975","1975","","1","XF","South America / Caribbean",""
"Brazil","Brazil","Cruzado novo (1989-1990)","0.1","KM# 613","N# 3443","10 Centavos (Miner)","Standard circulation coin","1989-1990","Round","Stainless steel","2.54","18.5","1.2","1990","1990","","1","XF","South America / Caribbean",""
"Brazil","Brazil","Real (1994-date)","0.5","KM# 651a","N# 666","50 Centavos (Rio Branco; stainless steel)","Standard circulation coin","2002-2021","Round","Stainless steel","7.81","23","2.85","2013","2013","","1","VF","South America / Caribbean",""
"Bulgaria","Bulgaria","Third lev (1962-1999)","0.01","KM# 84","N# 1986","1 Stotinka (2nd Coat of Arms; standard legend)","Standard circulation coin","1974-1990","Round","Brass","1","15","0.9","1974","1974","","1","XF","Europe",""
"Bulgaria","Bulgaria","Fourth lev (1999-date)","0.05","KM# 239a","N# 28611","5 Stotinki (magnetic)","Standard circulation coin","2000-2002","Round","Bronze plated steel","3.5","20","1.7","2000","2000","","1","XF","Europe",""
"Bulgaria","Bulgaria","Fourth lev (1999-date)","0.5","KM# 242","N# 2377","50 Stotinki","Standard circulation coin","1999-2002","Round","Nickel brass","4.9","22.4","1.7","1999","1999","","1","VF","Europe",""
"Bulgaria","Bulgaria","Fourth lev (1999-date)","1","KM# 254","N# 5109","1 Lev","Standard circulation coin","2002","Round","Bimetallic: copper-nickel center in brass ring","7","24.5","1.9","2002","2002","","1","VF","Europe",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 15","N# 438","1 Cent - George V (without ""DEI GRA"")","Standard circulation coin","1911","Round","Bronze (Cu 95%, Sn 4%, Zn 1%)","5.67","25.4","1.5","1911","1911","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 28","N# 436","1 Cent - George V (small cent)","Standard circulation coin","1920-1936","Round","Bronze (Cu 95.5%, Sn 3%, Zn 1.5%)","3.24","19.05","1.65","1935","1935","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 32","N# 435","1 Cent - George VI (with ET IND:IMP:)","Standard circulation coin","1937-1947","Round","Bronze","3.24","19.05","1.65","1947","1947","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 59","N# 432","1 Cent - Elizabeth II (2nd portrait; heavy type)","Standard circulation coin","1965-1979","Round","Bronze","3.24","19.05","1.65","1975","1975","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 59","N# 432","1 Cent - Elizabeth II (2nd portrait; heavy type)","Standard circulation coin","1965-1979","Round","Bronze","3.24","19.05","1.65","1978","1978","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 65","N# 430","1 Cent - Elizabeth II (Confederation)","Circulating commemorative coin","1967","Round","Bronze (98% Copper, 1.5% Zinc, 0.5% Tin)","3.24","19.05","1.65","1967","1967","","1","F","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 127","N# 429","1 Cent - Elizabeth II (2nd portrait; light type)","Standard circulation coin","1980-1981","Round","Copper","2.8","19","1.45","1980","1980","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 132","N# 427","1 Cent - Elizabeth II (2nd portrait, 12 sided)","Standard circulation coin","1982-1989","Dodecagonal (12-sided)","Bronze (.980 Cu, .005 Sn, .015 Zn)","2.5","19.1","1.45","1982","1982","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 181","N# 425","1 Cent - Elizabeth II (3rd portrait, 12 sided)","Standard circulation coin","1990-1996","Dodecagonal (12-sided)","Bronze (.980 Cu, .005 Sn, .015 Zn)","2.5","19.1","1.45","1995","1995","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 289","N# 424","1 Cent - Elizabeth II (3rd portrait)","Standard circulation coin","1997-2003","Round","Copper plated zinc","2.25","19.05","1.45","2001","2001","","1","UNC","Uncirculated / Sealed","From ""Royal Canadian Mint 2001 Specimen Set"""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 289b","N# 155562","1 Cent - Elizabeth II (3rd portrait; magnetic)","Standard circulation coin","1999-2003","Round","Copper plated steel","2.35","19.05","","2003","2003","P","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 445","N# 423","1 Cent - Elizabeth II (Golden Jubilee; non-magnetic)","Circulating commemorative coin","2002","Round","Copper plated zinc","2.3","19.05","1.45","2002","2002","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 445b","N# 155561","1 Cent - Elizabeth II (Golden Jubilee; magnetic)","Circulating commemorative coin","2002","Round","Copper plated steel","2.25","19.1","","2002","2002","P","1","XF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 490","N# 421","1 Cent - Elizabeth II (4th portrait; non-magnetic)","Standard circulation coin","2003-2012","Round","Copper plated zinc","2.25","19.05","1.45","2006","2006","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.01","KM# 490a","N# 19977","1 Cent - Elizabeth II (4th portrait; magnetic)","Standard circulation coin","2003-2012","Round","Copper plated steel","2.35","19.05","1.45","2012","2012","L","1","UNC","Uncirculated / Sealed","2012 Uncirculated Set"
"Canada","Canada","Canadian dollar (1858-date)","0.01","","N# 54420","1 Cent - Elizabeth II (4th portrait; Proof Issue)","Non-circulating coin","2004-2011","Round","Bronze","2.5","19.1","","2004","2004","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 29","N# 414","5 Cents - George V","Standard circulation coin","1922-1936","Round","Nickel","4.54","21.21","1.7","1936","1936","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 40","N# 411","5 Cents - George VI (Victory; tombac)","Circulating commemorative coin","1943-1944","Dodecagonal (12-sided)","Tombac (Cu 88%, Zn 12%)","4.54","21.234","1.7","1943","1943","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 40a","N# 410","5 Cents - George VI (Victory; steel)","Circulating commemorative coin","1944-1945","Dodecagonal (12-sided)","Chromium plated steel","4.54","21.234","1.7","1945","1945","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 39a","N# 409","5 Cents - George VI (with IND:IMP:)","Standard circulation coin","1946-1947","Dodecagonal","Nickel","4.54","21.234","1.7","1947","1947","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 48","N# 407","5 Cents - George VI (Discovery of Nickel)","Circulating commemorative coin","1951","Dodecagonal","Nickel","4.54","21.234","1.7","1951","1951","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 42a","N# 406","5 Cents - George VI (steel)","Standard circulation coin","1951-1952","Dodecagonal (12-sided)","Chromium plated steel","4.54","21.234","1.7","1952","1952","","1","XF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 50a","N# 404","5 Cents - Elizabeth II (1st portrait, nickel)","Standard circulation coin","1955-1962","Dodecagonal (12-sided)","Nickel","4.54","21.234","1.7","1959","1959","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 60.1","N# 401","5 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1965-1981","Round","Nickel","4.54","21.21","1.7","1975","1975","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 60.1","N# 401","5 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1965-1981","Round","Nickel","4.54","21.21","1.7","1978","1978","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 66","N# 402","5 Cents - Elizabeth II (Confederation)","Circulating commemorative coin","1967","Round","Nickel","4.54","21.21","1.7","1967","1967","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 60.2a","N# 400","5 Cents - Elizabeth II (2nd portrait; copper-nickel)","Standard circulation coin","1982-1989","Round","Copper-nickel","4.6","21.2","1.76","1987","1987","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 182","N# 398","5 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1990-2001","Round","Copper-nickel","4.6","21.2","1.76","2001","2001","","1","UNC","Uncirculated / Sealed","From ""Royal Canadian Mint 2001 Specimen Set"""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 205","N# 399","5 Cents - Elizabeth II (Confederation)","Circulating commemorative coin","1992","Round","Copper-nickel","4.6","21.2","1.76","1992","1992","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 182b","N# 396","5 Cents - Elizabeth II (3rd portrait; magnetic)","Standard circulation coin","1999-2003","Round","Nickel plated steel","3.925","21.2","1.75","2001","2001","P","1","XF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 446","N# 397","5 Cents - Elizabeth II (Golden Jubilee)","Circulating commemorative coin","2002","Round","Nickel plated steel (steel 94.5%, Cu 3.5%, Ni plating 2%)","3.95","21.2","1.76","2002","2002","P","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 491","N# 395","5 Cents - Elizabeth II (4th portrait; magnetic)","Standard circulation coin","2003-2021","Round","Nickel plated steel","3.95","21.2","1.76","2012","2012","L","1","UNC","Uncirculated / Sealed","From ""Canada 2012 Uncirculated Set"""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 491","N# 395","5 Cents - Elizabeth II (4th portrait; magnetic)","Standard circulation coin","2003-2021","Round","Nickel plated steel","3.95","21.2","1.76","2019","2019","L","1","UNC","Uncirculated / Sealed","Holiday Gift Set (2019)"
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 491","N# 395","5 Cents - Elizabeth II (4th portrait; magnetic)","Standard circulation coin","2003-2021","Round","Nickel plated steel","3.95","21.2","1.76","2021","2021","L","1","UNC","Uncirculated / Sealed","100th Anniversary of Bluenose Set"
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 491a","N# 42339","5 Cents - Elizabeth II (Silver Proof Issue)","Non-circulating coin","2004-2011","Round","Silver (.925)","5.35","21.2","","2004","2004","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 627","N# 394","5 Cents - Elizabeth II (Victory Anniversary)","Circulating commemorative coin","2005","Round","Nickel plated steel","3.95","21.2","1.76","2005","2005","P","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.05","KM# 2291","N# 107156","5 Cents - Elizabeth II (Living Traditions)","Circulating commemorative coin","2017","Round","Nickel plated steel (Three-ply nickel finish plated steel)","3.95","21.2","1.76","2017","2017","","1","XF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 67","N# 384","10 Cents - Elizabeth II (Confederation- 80%)","Circulating commemorative coin","1967","Round","Silver (.800)","2.33","18.034","1.21","1967","1967","","1","F","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 77","N# 7518","10 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1969-1989","Round","Nickel","2.07","18.034","1.19","1975","1975","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 77","N# 7518","10 Cents - Elizabeth II (2nd portrait)","Standard circulation coin","1969-1989","Round","Nickel","2.07","18.034","1.19","1978","1978","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 183","N# 380","10 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1990-2000","Round","Nickel","2.07","18.03","1.22","1993","1993","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 206","N# 381","10 Cents - Elizabeth II (Confederation)","Circulating commemorative coin","1992","Round","Nickel","2.07","18.03","1.19","1992","1992","","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 183b","N# 3565","10 Cents - Elizabeth II (3rd portrait)","Standard circulation coin","1999-2003","Round","Nickel plated steel","1.75","18.03","1.22","2001","2001","P","1","UNC","Uncirculated / Sealed","From ""Royal Canadian Mint 2001 Specimen Set"""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 412","N# 378","10 Cents - Elizabeth II (Year of Volunteers)","Circulating commemorative coin","2001","Round","Nickel plated steel","1.75","18.03","1.22","2001","2001","P","1","XF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 447","N# 379","10 Cents - Elizabeth II (Golden Jubilee)","Circulating commemorative coin","2002","Round","Nickel plated steel (nickel (2.5%) plated steel (92%) and copper (5.5%))","1.75","18.03","1.22","2002","2002","P","1","VF","North America / Oceania",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 492","N# 377","10 Cents - Elizabeth II (4th portrait)","Standard circulation coin","2003-2021","Round","Nickel plated steel","1.75","18.03","1.22","2012","2012","L","1","UNC","Uncirculated / Sealed","From ""Canada 2012 Uncirculated Set"""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 492","N# 377","10 Cents - Elizabeth II (4th portrait)","Standard circulation coin","2003-2021","Round","Nickel plated steel","1.75","18.03","1.22","2019","2019","L","1","UNC","Uncirculated / Sealed","Holiday Gift Set (2019)"
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 492a","N# 42337","10 Cents - Elizabeth II (4th portrait; Silver Proof Issue)","Non-circulating coin","2004-2011","Round","Silver (.925)","2.4","18.05","","2004","2004","","1","UNC","Uncirculated / Sealed",""
"Canada","Canada","Canadian dollar (1858-date)","0.1","KM# 2293","N# 105411","10 Cents - Elizabeth II (Wings of Peace)","Circulating commemorative coin","2017","Round","Nickel plated steel","1.75","18.03","1.22","2017","2017","","1","XF","North America / Oceania",""
